model,type,n_runs,reward_mean,reward_median,reward_std,sharpe_mean,sharpe_median,sharpe_std
garch_heuristic,heuristic,2,46346.8534693914,46346.8534693914,59011.3937970454,23.670723182476763,23.670723182476763,36.78086532196428
ppo_baseline,ppo,6,-10589.449165403528,38452.999799709025,87304.27696312555,-27.898891772696995,13.920913823710784,61.85909952041341
ppo_bayeslvr_gated,ppo,6,58297.73143323144,16858.47033668578,218899.20317381457,-22.635626567774864,13.789584987193445,66.83519323200605
ppo_bayeslvr,ppo,6,-14542.343905641814,16305.2387369489,86499.73276029076,-23.63944563289117,9.48129788437318,66.39454548439744
ppo_bayeslvr_attention,ppo,6,68258.31300669447,9658.444170181501,94065.72785502771,13.965685172625498,9.944768307053616,8.351052922298186
cartea_style_control,heuristic,2,7963.944347599331,7963.944347599331,6382.462789556749,12.710834088295167,12.710834088295167,9.95713475391423
ppo_ewma_vol,ppo,6,-288.71716629175836,5118.745279861175,119363.29616131124,-22.023745542698084,8.7899892804854,67.5226772023082
ppo_garch_vol,ppo,6,-49116.46055276552,-64596.686361916734,84489.33913559791,-45.61634985592179,-55.110634470900415,71.23575422381184
ppo_extended_action,ppo,6,-64331.93429034357,-64782.19888425118,67529.71139350825,-55.02370468401617,-56.23788397047217,60.29521579427158
