model,seed,window_id,original_reward,shuffled_reward,delta_reward,original_sharpe,shuffled_sharpe,delta_sharpe
ppo_bayeslvr,7,0,4109.59411458679,4109.59411458679,0.0,5.041681945035579,5.041681945035579,0.0
ppo_bayeslvr,7,1,82216.64215751529,82216.64215751529,0.0,18.183373074524603,18.183373074524603,0.0
ppo_bayeslvr,17,0,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr,17,1,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr,29,0,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr,29,1,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_attention,7,0,3317.609854899075,3056.340359263544,-261.2694956355308,8.247429299043795,6.423883607871815,-1.8235456911719794
ppo_bayeslvr_attention,7,1,131716.2832943211,143328.69800615514,11612.414711834048,20.501504714952077,17.82767697626138,-2.6738277386906972
ppo_bayeslvr_attention,17,0,3307.704966912862,3307.5904520135036,-0.1145148993582552,8.06401430188219,8.063726523183743,-0.00028777869844809345
ppo_bayeslvr_attention,17,1,251891.39158367075,222223.8813432041,-29667.510240466654,29.403228952288288,29.119160889885414,-0.2840680624028735
ppo_bayeslvr_attention,29,0,5277.8200825906115,5210.813309787943,-67.00677280266882,5.935826452523208,5.86021331200647,-0.07561314051673751
ppo_bayeslvr_attention,29,1,14039.068257772393,16740.73634536914,2701.668087596747,11.642107315063438,13.911348039573912,2.2692407245104746
ppo_bayeslvr_gated,7,0,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr_gated,7,1,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_gated,17,0,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr_gated,17,1,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_gated,29,0,5216.0573140605475,4966.057314282085,-249.99999977846255,13.658256150676106,12.537271810676987,-1.1209843399991186
ppo_bayeslvr_gated,29,1,518150.63099128107,518150.63099128107,0.0,15.58971325958193,15.58971325958193,0.0
